q0 q1 q2 q3 wx wy wz
 0.208437 0.0329265  0.291437 -0.933024  0.206364 0.0310589 0.0676604
 0.215872 0.0314843  0.296181 -0.929884  0.206456 0.0305843 0.0675896
 0.223361 0.0300838  0.300788 -0.926678  0.206545   0.03011 0.0675199
 0.230801 0.0286914  0.305443  -0.92337  0.206633  0.029636 0.0674512
 0.238136 0.0273528  0.310082 -0.919996  0.206719 0.0291624 0.0673836
 0.245511 0.0258954   0.31478 -0.916497  0.206804 0.0286891  0.067317
 0.252823 0.0245525  0.319434 -0.912929  0.206887 0.0282161 0.0672515
 0.260156 0.0231237  0.323995 -0.909292  0.206968 0.0277435 0.0671872
 0.267399 0.0219226  0.328574 -0.905569  0.207048 0.0272711 0.0671238
  0.27471 0.0206434  0.333048 -0.901769  0.207126 0.0267991 0.0670616
 0.281924 0.0192391  0.337631 -0.897861  0.207202 0.0263274 0.0670005
 0.288979 0.0179553  0.342129 -0.893933  0.207277 0.0258559 0.0669404
 0.296084 0.0167581   0.34666 -0.889877   0.20735 0.0253848 0.0668815
 0.303175 0.0156168  0.351216 -0.885714  0.207422  0.024914 0.0668236
 0.310191 0.0144128  0.355708 -0.881502  0.207491 0.0244435 0.0667668
 0.317231  0.013293  0.360148   -0.8772  0.207559 0.0239733 0.0667111
 0.324165 0.0122491   0.36463 -0.872818  0.207626 0.0235034 0.0666566
 0.331037 0.0111725  0.369142 -0.868345  0.207691 0.0230337 0.0666031
  0.33789 0.0100799  0.373527 -0.863832  0.207754 0.0225644 0.0665507
  0.344626 0.00897393   0.377999  -0.859226   0.207815  0.0220953  0.0664995
 0.351414 0.0079652  0.382441 -0.854508  0.207875 0.0216265 0.0664493
 0.358198 0.0070231   0.38689 -0.849683  0.207934  0.021158 0.0664003
  0.364813 0.00609359   0.391261   -0.84486    0.20799  0.0206898  0.0663523
  0.371414 0.00518853   0.395653  -0.839931   0.208045  0.0202218  0.0663055
  0.378013 0.00426236        0.4  -0.834918   0.208098  0.0197541  0.0662598
  0.384617 0.00330675   0.404351  -0.829795    0.20815  0.0192867  0.0662151
  0.39108 0.0023899  0.408681 -0.824639    0.2082 0.0188195 0.0661716
  0.397527 0.00149722   0.413002  -0.819389   0.208249  0.0183525  0.0661293
   0.403903 0.000723082    0.417272   -0.814092    0.208296   0.0178858    0.066088
   0.41027 -0.0001431   0.421488  -0.808719   0.208341  0.0174194  0.0660478
    0.416489 -0.000904767     0.425679    -0.803327     0.208384    0.0169532    0.0660088
   0.422631 -0.00175027    0.429859   -0.797873    0.208426   0.0164872   0.0659709
   0.428773 -0.00244562    0.434089   -0.792284    0.208467   0.0160215   0.0659341
   0.434851 -0.00311996    0.438344   -0.786606    0.208506    0.015556   0.0658984
   0.440859 -0.00380159    0.442493   -0.780916    0.208543   0.0150907   0.0658638
   0.446957 -0.00441652    0.446608   -0.775082    0.208578   0.0146257   0.0658304
   0.452904 -0.00502909    0.450702   -0.769234    0.208612   0.0141608    0.065798
  0.458784 -0.0056172   0.454818    -0.7633   0.208645  0.0136962  0.0657668
   0.464683 -0.00623579    0.458865   -0.757281    0.208675   0.0132318   0.0657367
   0.470443 -0.00672703    0.462896   -0.751242    0.208705   0.0127676   0.0657077
   0.476152 -0.00727876    0.466981   -0.745088    0.208732   0.0123036   0.0656798
   0.481849 -0.00777679    0.471002   -0.738862    0.208758   0.0118398    0.065653
  0.487444 -0.0082431   0.475064   -0.73256   0.208782  0.0113762  0.0656274
   0.493052 -0.00870294     0.47899   -0.726218    0.208805   0.0109128   0.0656028
   0.498491 -0.00923434     0.48294   -0.719854    0.208826   0.0104495   0.0655794
   0.504011 -0.00973544    0.486916   -0.713295    0.208846  0.00998646   0.0655571
